ID,Name,Country,Events_2025,Total_Heats,Tours
17963,Alejo Valido Segura,Spain,0,0,
3944,Alex Bauduin,Spain,6,10,"MQS, MJUN"
2160,Alex Gironi,Basque Country,0,0,
13567,Alex Gironi,Basque Country,0,0,
18855,Alex Hontoria,Basque Country,1,1,MQS
2673,Alex Iriondo,Basque Country,3,5,"MQS, MJUN"
20497,Alex Loidi Domit,Basque Country,0,0,
14876,Alex Petit,Spain,1,0,MLT
14376,Alex Vilalta,Spain,0,0,
7116,Alex Vilalta Espelt,Spain,1,1,MQS
5709,Alexander Zirke,Canary Islands,0,0,
13569,Alexander Zirke,Canary Islands,0,0,
2221,Alexandro Diaz Luque,Spain,0,0,
15602,Alfonso Suarez,Spain,5,11,"MQS, MJUN"
19228,Alfonso Zamora,Spain,1,1,MLT
15695,Ali El Mghari,Spain,0,0,
14576,Alicia Delgado,Spain,1,2,WJUN
13922,Alida Gonzalez Garcia,Spain,1,2,WJUN
16083,Àlvar Soro Duran,Spain,0,0,
13293,Alvaro Amor,Spain,1,1,MJUN
20000,Alvaro Casanova Del Cerro,Spain,1,4,MJUN
15745,Alvaro De La Fuente,Spain,6,10,"MQS, MJUN"
3768,Alvaro Fernandez Garcia,Spain,0,0,
8200,Alvaro Frojan Corral,Spain,1,1,MJUN
762,Alvaro Niglierina,Spain,0,0,
4966,Amaya Ruiz,Spain,0,0,
14594,Ana Hernandez,Canary Islands,1,1,WQS
20546,Ana Piñón,Spain,1,1,WJUN
9988,Ander Idarranga,Spain,4,6,"MQS, MJUN"
2670,Ander Mendiguren,Basque Country,1,1,MQS
13573,Ander Ugarte,Basque Country,0,0,
15129,Ander Ugarte Jauregui,Spain,0,0,
15526,Andrea Plantada,Spain,1,1,WQS
2649,Andy Criere,Spain,13,29,"MQS, MJUN, MCS"
20495,Ane Illarramendi Gurrutxaga,Basque Country,0,0,
19128,Ane Loreiro Cubero,Spain,2,2,WJUN
11436,Angela Ayesa,Spain,4,3,WJUN
13944,Anne Calderon,Spain,4,5,"WJUN, WQS"
15615,Annette Gonzalez Etxabarri,Basque Country,11,38,"WJUN, WCS, WQS"
7467,Antonio Fernandez,Spain,1,0,MQS
7373,Antonio Gamero,Spain,1,1,MJUN
7654,Antonio Hirsch Blanco,Canary Islands,1,1,MJUN
12622,Arene Basurto,Basque Country,1,1,WJUN
2724,Ariane Ochoa,Basque Country,10,12,"MQS, WCS, WQS"
8216,Ariano Marques,Spain,0,0,
588,Aritz Aranburu,Spain,3,3,"MBWT, MCT, MCS"
8718,Aritza Saratxaga,Basque Country,0,0,
3328,Aritza Saratxaga,Basque Country,2,2,"MQS, MBWT"
13579,Armando Navarro,Canary Islands,0,0,
2230,Armando Navarro Sanz,Canary Islands,0,0,
9287,Arnau Riera,Spain,13,20,"MQS, MJUN"
5750,Asier Iribar,Basque Country,0,0,
7327,Asier Iriondo,Spain,5,9,"MQS, MJUN"
1604,Asier Makeda,Basque Country,0,0,
3773,Asier Ruiz De Gauna,Spain,3,4,MJUN
10497,Axel Lopetegi,Basque Country,4,7,"MQS, MJUN"
10497,Axel Lopetegi,Basque Country,4,7,"MQS, MJUN"
1310,Axier Muniain,Basque Country,2,0,"MQS, MBWT"
9295,Belen Botin,Spain,0,0,
1345,Benat Makazaga,Basque Country,0,0,
1868,Bentejui Tejera,Canary Islands,0,0,
8229,Bentor Dobson,Basque Country,0,0,
13582,Bentor Gonzalez Dominguez,Canary Islands,0,0,
2211,Bentor Gonzalez Dominguez,Canary Islands,1,1,MQS
15748,Berta Gáñez,Spain,1,1,WJUN
12628,Bianca Tye,Spain,3,5,"WJUN, WQS"
4987,Bilbao Batirtze,Spain,0,0,
12556,Bitor Garitaonandia,Basque Country,3,4,MQS
